   0.010 1.225E+0000   7.249
  25.000 3.899E-0002   6.349
  30.000 1.774E-0002   6.682
  40.000 3.972E-0003   7.554
  50.000 1.057E-0003   8.382
  60.000 3.206E-0004   7.714
  70.000 8.770E-0005   6.549
  80.000 1.905E-0005   5.799
  90.000 3.396E-0006   5.382
 100.000 5.297E-0007   5.877
 110.000 9.661E-0008   7.263
 120.000 2.438E-0008   9.473
 130.000 8.484E-0009  12.636
 140.000 3.845E-0009  16.149
 150.000 2.070E-0009  22.523
 180.000 5.464E-0010  29.740
 200.000 2.789E-0010  37.105
 250.000 7.248E-0011  45.546
 300.000 2.418E-0011  53.628
 350.000 9.518E-0012  53.298
 400.000 3.725E-0012  58.515
 450.000 1.585E-0012  60.828
 500.000 6.967E-0013  63.822
 600.000 1.454E-0013  71.835
 700.000 3.614E-0014  88.667
 800.000 1.170E-0014 124.640
 900.000 5.245E-0015 181.045

